replicate,model,model_label,n_train,n_test,roc_auc,f1,accuracy,precision,recall,brier,ece
1,orig_quality_hr,Original: Quality + HR,327,153,0.9668430335097001,0.9147286821705426,0.9281045751633987,0.8939393939393939,0.9365079365079365,0.062480947351518844,0.07840339216295339
1,orig_sleep_pa,Original: Sleep + PA,327,153,0.9531746031746031,0.9147286821705426,0.9281045751633987,0.8939393939393939,0.9365079365079365,0.0643894154251548,0.0672692075504198
1,orig_sleep_hr,Original: Sleep + HR,327,153,0.9602292768959435,0.9147286821705426,0.9281045751633987,0.8939393939393939,0.9365079365079365,0.06413560384387655,0.0556965885620472
1,orig_quality_pa,Original: Quality + PA,327,153,0.9580246913580247,0.9147286821705426,0.9281045751633987,0.8939393939393939,0.9365079365079365,0.06239327447493314,0.07369360606072722
1,compressed,Compressed Derived,327,153,0.9611992945326279,0.9147286821705426,0.9281045751633987,0.8939393939393939,0.9365079365079365,0.0636728105575887,0.062103727863208696
1,enhanced,Compressed + Interaction,327,153,0.9604938271604939,0.9147286821705426,0.9281045751633987,0.8939393939393939,0.9365079365079365,0.062481991484474926,0.04325287879789791
2,orig_quality_hr,Original: Quality + HR,373,140,0.9314903846153846,0.8990825688073395,0.9214285714285714,0.8596491228070176,0.9423076923076923,0.07004436156534355,0.0849402075644967
2,orig_sleep_pa,Original: Sleep + PA,373,140,0.9463505244755245,0.8990825688073395,0.9214285714285714,0.8596491228070176,0.9423076923076923,0.06484190877707778,0.09837595430836513
2,orig_sleep_hr,Original: Sleep + HR,373,140,0.9312718531468531,0.8990825688073395,0.9214285714285714,0.8596491228070176,0.9423076923076923,0.07228546340285766,0.06862842306440481
2,orig_quality_pa,Original: Quality + PA,373,140,0.942416958041958,0.8990825688073395,0.9214285714285714,0.8596491228070176,0.9423076923076923,0.0623170072599179,0.0746509515235828
2,compressed,Compressed Derived,373,140,0.9372814685314685,0.8990825688073395,0.9214285714285714,0.8596491228070176,0.9423076923076923,0.0697727157131391,0.1036763725964499
2,enhanced,Compressed + Interaction,373,140,0.932145979020979,0.8990825688073395,0.9214285714285714,0.8596491228070176,0.9423076923076923,0.07131337641615706,0.07940040152535192
3,orig_quality_hr,Original: Quality + HR,397,119,0.9443037974683545,0.875,0.9159663865546218,0.875,0.875,0.06300393679602305,0.045309754088874714
3,orig_sleep_pa,Original: Sleep + PA,397,119,0.9431962025316455,0.875,0.9159663865546218,0.875,0.875,0.06854621444521349,0.05489789060743934
3,orig_sleep_hr,Original: Sleep + HR,397,119,0.9520569620253164,0.875,0.9159663865546218,0.875,0.875,0.06685972169828497,0.05079847361913318
3,orig_quality_pa,Original: Quality + PA,397,119,0.9455696202531645,0.875,0.9159663865546218,0.875,0.875,0.06366087910013503,0.04281875364571361
3,compressed,Compressed Derived,397,119,0.9512658227848101,0.875,0.9159663865546218,0.875,0.875,0.06327167913904698,0.06150746410530948
3,enhanced,Compressed + Interaction,397,119,0.9468354430379746,0.875,0.9159663865546218,0.875,0.875,0.0664608066793232,0.040121861510317804
4,orig_quality_hr,Original: Quality + HR,325,160,0.9357416879795395,0.8920863309352518,0.90625,0.8732394366197183,0.9117647058823529,0.07769810430329656,0.09479838370840918
4,orig_sleep_pa,Original: Sleep + PA,325,160,0.9219948849104859,0.8759124087591241,0.89375,0.8695652173913043,0.8823529411764706,0.08456575663340733,0.08575808641139884
4,orig_sleep_hr,Original: Sleep + HR,325,160,0.9346227621483375,0.8920863309352518,0.90625,0.8732394366197183,0.9117647058823529,0.08155968571616246,0.09328630140912407
4,orig_quality_pa,Original: Quality + PA,325,160,0.9301470588235294,0.8920863309352518,0.90625,0.8732394366197183,0.9117647058823529,0.07872641680489215,0.07487500859841228
4,compressed,Compressed Derived,325,160,0.935262148337596,0.9051094890510949,0.91875,0.8985507246376812,0.9117647058823529,0.07767530441565836,0.09112873261083018
4,enhanced,Compressed + Interaction,325,160,0.9287084398976981,0.8759124087591241,0.89375,0.8695652173913043,0.8823529411764706,0.07903884241618893,0.06791002445348819
5,orig_quality_hr,Original: Quality + HR,397,111,0.9240983606557376,0.9142857142857143,0.918918918918919,0.8727272727272727,0.96,0.07881279414345832,0.05771011974155215
5,orig_sleep_pa,Original: Sleep + PA,397,111,0.9247540983606559,0.8846153846153846,0.8918918918918919,0.8518518518518519,0.92,0.08342761394920042,0.05636002815587493
5,orig_sleep_hr,Original: Sleep + HR,397,111,0.9096721311475409,0.8932038834951457,0.9009009009009009,0.8679245283018868,0.92,0.08269043064140211,0.08026439352931633
5,orig_quality_pa,Original: Quality + PA,397,111,0.9250819672131146,0.8932038834951457,0.9009009009009009,0.8679245283018868,0.92,0.0781920525145727,0.07114710240960738
5,compressed,Compressed Derived,397,111,0.9263934426229508,0.8932038834951457,0.9009009009009009,0.8679245283018868,0.92,0.0809138864756411,0.05684329555820969
5,enhanced,Compressed + Interaction,397,111,0.9240983606557377,0.8932038834951457,0.9009009009009009,0.8679245283018868,0.92,0.08342587804363465,0.07107909757298136
6,orig_quality_hr,Original: Quality + HR,327,157,0.9313186813186813,0.873015873015873,0.8980891719745223,0.9166666666666666,0.8333333333333334,0.07950051280467776,0.049070787151247
6,orig_sleep_pa,Original: Sleep + PA,327,157,0.924908424908425,0.873015873015873,0.8980891719745223,0.9166666666666666,0.8333333333333334,0.08897353751119184,0.07089190923878817
6,orig_sleep_hr,Original: Sleep + HR,327,157,0.9239094239094239,0.873015873015873,0.8980891719745223,0.9166666666666666,0.8333333333333334,0.08502742741176064,0.03794316462675791
6,orig_quality_pa,Original: Quality + PA,327,157,0.9331501831501833,0.873015873015873,0.8980891719745223,0.9166666666666666,0.8333333333333334,0.08142768367546986,0.049085916694078115
6,compressed,Compressed Derived,327,157,0.9256576756576758,0.873015873015873,0.8980891719745223,0.9166666666666666,0.8333333333333334,0.08252688615483605,0.05571577097879697
6,enhanced,Compressed + Interaction,327,157,0.924991674991675,0.873015873015873,0.8980891719745223,0.9166666666666666,0.8333333333333334,0.08506318411757677,0.05513845296477661
7,orig_quality_hr,Original: Quality + HR,325,169,0.9191008018327605,0.9178082191780822,0.9289940828402367,0.9054054054054054,0.9305555555555556,0.07150305495623287,0.042029334170505146
7,orig_sleep_pa,Original: Sleep + PA,325,169,0.9317726231386024,0.9027777777777778,0.9171597633136095,0.9027777777777778,0.9027777777777778,0.07295084117496581,0.06691949073966906
7,orig_sleep_hr,Original: Sleep + HR,325,169,0.9190292096219932,0.9178082191780822,0.9289940828402367,0.9054054054054054,0.9305555555555556,0.07393562302920074,0.031060901435311504
7,orig_quality_pa,Original: Quality + PA,325,169,0.9285509736540665,0.9178082191780822,0.9289940828402367,0.9054054054054054,0.9305555555555556,0.06817963522822391,0.06881507419763123
7,compressed,Compressed Derived,325,169,0.9258304696449027,0.9178082191780822,0.9289940828402367,0.9054054054054054,0.9305555555555556,0.07524727488215448,0.025694003370762417
7,enhanced,Compressed + Interaction,325,169,0.9256872852233677,0.9178082191780822,0.9289940828402367,0.9054054054054054,0.9305555555555556,0.07545097349984026,0.06172446802774938
8,orig_quality_hr,Original: Quality + HR,388,147,0.8858644859813084,0.8354430379746836,0.9115646258503401,0.8461538461538461,0.825,0.08162723862339494,0.04552283470886053
8,orig_sleep_pa,Original: Sleep + PA,388,147,0.884929906542056,0.8051948051948052,0.8979591836734694,0.8378378378378378,0.775,0.0837439874608372,0.05087826346434056
8,orig_sleep_hr,Original: Sleep + HR,388,147,0.8860981308411214,0.8051948051948052,0.8979591836734694,0.8378378378378378,0.775,0.0851557346949999,0.04330641690789596
8,orig_quality_pa,Original: Quality + PA,388,147,0.8853971962616822,0.8051948051948052,0.8979591836734694,0.8378378378378378,0.775,0.07879572093174061,0.04845788685383012
8,compressed,Compressed Derived,388,147,0.8838785046728971,0.8571428571428571,0.9251700680272109,0.8918918918918919,0.825,0.0817311107779563,0.06784308842928659
8,enhanced,Compressed + Interaction,388,147,0.8843457943925234,0.8266666666666667,0.9115646258503401,0.8857142857142857,0.775,0.08394513841887065,0.048688949738145484
9,orig_quality_hr,Original: Quality + HR,388,136,0.9298760600130462,0.9150326797385621,0.9044117647058824,0.875,0.958904109589041,0.08328841218316108,0.034876379812472415
9,orig_sleep_pa,Original: Sleep + PA,388,136,0.933898673624701,0.9006622516556292,0.8897058823529411,0.8717948717948718,0.9315068493150684,0.08824737437998957,0.0640752905212004
9,orig_sleep_hr,Original: Sleep + HR,388,136,0.9317242878886715,0.9006622516556292,0.8897058823529411,0.8717948717948718,0.9315068493150684,0.08621011874817043,0.041610309342324556
9,orig_quality_pa,Original: Quality + PA,388,136,0.9324853228962817,0.9006622516556292,0.8897058823529411,0.8717948717948718,0.9315068493150684,0.08377856006942702,0.06253708223037437
9,compressed,Compressed Derived,388,136,0.9325940421830833,0.9150326797385621,0.9044117647058824,0.875,0.958904109589041,0.08473186376994819,0.0418344802225597
9,enhanced,Compressed + Interaction,388,136,0.9304196564470538,0.9006622516556292,0.8897058823529411,0.8717948717948718,0.9315068493150684,0.08700684775229482,0.05048183257090455
10,orig_quality_hr,Original: Quality + HR,326,153,0.9357142857142857,0.8990825688073395,0.9281045751633987,0.9074074074074074,0.8909090909090909,0.0703775558690978,0.053317200753018226
10,orig_sleep_pa,Original: Sleep + PA,326,153,0.9173469387755101,0.8909090909090909,0.9215686274509803,0.8909090909090909,0.8909090909090909,0.0780931724543611,0.07230679040251602
10,orig_sleep_hr,Original: Sleep + HR,326,153,0.9373840445269017,0.8909090909090909,0.9215686274509803,0.8909090909090909,0.8909090909090909,0.07326274508561537,0.06268713336694398
10,orig_quality_pa,Original: Quality + PA,326,153,0.9175324675324675,0.8990825688073395,0.9281045751633987,0.9074074074074074,0.8909090909090909,0.07496072088768015,0.05602713733713815
10,compressed,Compressed Derived,326,153,0.9288497217068646,0.8990825688073395,0.9281045751633987,0.9074074074074074,0.8909090909090909,0.07598453660334016,0.0755185568069871
