scoring,model,model_label,roc_auc_mean,roc_auc_sd,f1_mean,f1_sd,accuracy_mean,brier_mean,ece_mean
neg_log_loss,orig_quality_hr,Original: Quality + HR,0.9377462642175696,0.03220321508413052,0.8981874207379981,0.033259864667808954,0.9155729018492176,0.07498426685018583,0.08230641077425799
neg_log_loss,compressed,Compressed Derived,0.9342208468783862,0.03370970385026203,0.8958787758778781,0.03197965708621882,0.9135729018492176,0.07831410613076596,0.08864587605727972
neg_log_loss,orig_quality_pa,Original: Quality + PA,0.9361848795532216,0.03342419969425417,0.8953634643661832,0.03236950859420371,0.9129017306780465,0.07482353323904331,0.08487329083528342
neg_log_loss,orig_sleep_hr,Original: Sleep + HR,0.9373542059757364,0.03558292597705278,0.8933158277088452,0.028870145428525555,0.9112215504978662,0.07941771786614503,0.08898449656272335
neg_log_loss,orig_sleep_pa,Original: Sleep + PA,0.936504713299537,0.03518563088015822,0.8924914070314832,0.028800569795540056,0.9105458748221906,0.08077016279534596,0.09254720314769509
neg_log_loss,enhanced,Compressed + Interaction,0.9340757253707366,0.0337199626805568,0.8910953513279918,0.0292812776034853,0.9092123044096729,0.07818443569074603,0.08235104896670349
roc_auc,enhanced,Compressed + Interaction,0.9341416793592338,0.03221683966499934,0.8108929486683423,0.16562039560875497,0.8708566856330014,0.12206867899788217,0.1903452348158229
roc_auc,orig_quality_hr,Original: Quality + HR,0.9347469537839006,0.033098895696134875,0.7948909522114195,0.2722517935551965,0.8759100284495022,0.10560581290836571,0.1551151892948328
roc_auc,orig_quality_pa,Original: Quality + PA,0.9345199557465124,0.033339158599690485,0.7939930126159795,0.23627589391611709,0.8696932195353249,0.11727591964588084,0.17250449937910534
roc_auc,orig_sleep_hr,Original: Sleep + HR,0.9377834610167695,0.03358215372766474,0.7538111074460261,0.2855274886043798,0.8557518966334756,0.11574693256854732,0.170756264067021
roc_auc,orig_sleep_pa,Original: Sleep + PA,0.935317408897679,0.03439221041076196,0.6930746212371021,0.2887907306035641,0.82416737790422,0.13761493853717602,0.21205473211899162
roc_auc,compressed,Compressed Derived,0.9328748285556238,0.033141997780330196,0.6253702776073438,0.281774111804002,0.7927761972498815,0.14434278835311062,0.22794122094358532
