repeat,fold,scoring,mode,config,best_c,best_weight,auc,brier,ece,f1_default,f1_tuned,accuracy_default,accuracy_tuned,threshold,calib_intercept_test,calib_slope_test,calib_f1_internal
1,1,roc_auc,raw,roc_auc + raw,0.01,None,0.9655425219941349,0.10533093064976183,0.16092279311404925,0.90625,0.8787878787878788,0.92,0.8933333333333333,0.45000000000000007,-0.36568863919379135,2.8885622150095394,0.9354838709677419
1,1,roc_auc,platt,roc_auc + platt,0.01,None,0.9655425219941349,0.07776892870269476,0.048242838601619764,0.8787878787878788,0.8787878787878788,0.8933333333333333,0.8933333333333333,0.5,-0.9327299784665591,0.550230613052193,0.9354838709677419
1,1,neg_log_loss,raw,neg_log_loss + raw,0.1,None,0.9655425219941348,0.07389801219530046,0.067760557033961,0.8787878787878788,0.8787878787878788,0.8933333333333333,0.8933333333333333,0.5,-0.8583800347773463,1.502410582784588,0.9354838709677419
1,1,neg_log_loss,platt,neg_log_loss + platt,0.1,None,0.9655425219941348,0.08006389450230089,0.05517004140176417,0.8787878787878788,0.8787878787878788,0.8933333333333333,0.8933333333333333,0.5,-1.00389187454803,0.6668099232500184,0.9354838709677419
1,2,roc_auc,raw,roc_auc + raw,0.1,None,0.93475073313783,0.07479103042704964,0.06661849845099754,0.9206349206349206,0.625,0.9333333333333333,0.76,0.8,0.08678183826813632,1.3467042812101877,0.9152542372881356
1,2,roc_auc,platt,roc_auc + platt,0.1,None,0.93475073313783,0.0770896985009365,0.07506112022730316,0.9206349206349206,0.64,0.9333333333333333,0.76,0.7000000000000001,0.562322392433236,1.0808132547537495,0.9032258064516129
1,2,neg_log_loss,raw,neg_log_loss + raw,0.1,None,0.93475073313783,0.07479103042704964,0.06661849845099754,0.9206349206349206,0.625,0.9333333333333333,0.76,0.8,0.08678183826813632,1.3467042812101877,0.9152542372881356
1,2,neg_log_loss,platt,neg_log_loss + platt,0.1,None,0.93475073313783,0.0770896985009365,0.07506112022730316,0.9206349206349206,0.64,0.9333333333333333,0.76,0.7000000000000001,0.562322392433236,1.0808132547537495,0.9032258064516129
1,3,roc_auc,raw,roc_auc + raw,0.1,None,0.9254480286738351,0.09907609334058909,0.08366339157988895,0.8620689655172413,0.32432432432432434,0.8947368421052632,0.6710526315789473,0.75,1.1526869366415013,1.3511326470634644,0.9
1,3,roc_auc,platt,roc_auc + platt,0.1,None,0.9254480286738351,0.1006621124195007,0.09328156924474842,0.8620689655172413,0.2777777777777778,0.8947368421052632,0.6578947368421053,0.75,1.2469416844384358,1.2948192983473068,0.9
1,3,neg_log_loss,raw,neg_log_loss + raw,0.1,None,0.9254480286738351,0.09907609334058909,0.08366339157988895,0.8620689655172413,0.32432432432432434,0.8947368421052632,0.6710526315789473,0.75,1.1526869366415013,1.3511326470634644,0.9
1,3,neg_log_loss,platt,neg_log_loss + platt,0.1,None,0.9254480286738351,0.1006621124195007,0.09328156924474842,0.8620689655172413,0.2777777777777778,0.8947368421052632,0.6578947368421053,0.75,1.2469416844384358,1.2948192983473068,0.9
1,4,roc_auc,raw,roc_auc + raw,1.0,None,0.8983495873968492,0.07716123554075348,0.08623042377063106,0.9,0.9,0.918918918918919,0.918918918918919,0.5,-0.06795732754980924,0.8289508475368454,0.9206349206349206
1,4,roc_auc,platt,roc_auc + platt,1.0,None,0.8983495873968492,0.07656765338801216,0.08484613150772917,0.9,0.9,0.918918918918919,0.918918918918919,0.5,0.024202758042402114,0.8332430447123258,0.9206349206349206
1,4,neg_log_loss,raw,neg_log_loss + raw,1.0,balanced,0.8983495873968493,0.07990333316558125,0.05752103934536888,0.9,0.9,0.918918918918919,0.918918918918919,0.5,-0.35892489118360665,0.8267568210638732,0.9206349206349206
1,4,neg_log_loss,platt,neg_log_loss + platt,1.0,balanced,0.8983495873968493,0.07635219077095123,0.061662559893312846,0.9,0.9,0.918918918918919,0.918918918918919,0.5,-0.024958049615913636,0.8358927857168044,0.9206349206349206
1,5,roc_auc,raw,roc_auc + raw,0.1,None,0.9583645911477869,0.07602210415748847,0.09747468109347583,0.8923076923076924,0.8923076923076924,0.9054054054054054,0.9054054054054054,0.5,-0.6249583314328212,1.5906412156585739,0.9508196721311475
1,5,roc_auc,platt,roc_auc + platt,0.1,None,0.9583645911477869,0.07225665823581004,0.0835412162786077,0.8923076923076924,0.8923076923076924,0.9054054054054054,0.9054054054054054,0.5,-0.7538897078934921,1.140229066214492,0.9508196721311475
1,5,neg_log_loss,raw,neg_log_loss + raw,0.1,None,0.9583645911477869,0.07602210415748847,0.09747468109347583,0.8923076923076924,0.8923076923076924,0.9054054054054054,0.9054054054054054,0.5,-0.6249583314328212,1.5906412156585739,0.9508196721311475
1,5,neg_log_loss,platt,neg_log_loss + platt,0.1,None,0.9583645911477869,0.07225665823581004,0.0835412162786077,0.8923076923076924,0.8923076923076924,0.9054054054054054,0.9054054054054054,0.5,-0.7538897078934921,1.140229066214492,0.9508196721311475
2,1,roc_auc,raw,roc_auc + raw,0.001,None,0.9596774193548386,0.20273451207900223,0.33566848542321737,0.12121212121212122,0.9180327868852459,0.6133333333333333,0.9333333333333333,0.4,6.969036141947599,19.56292685176563,0.8529411764705882
2,1,roc_auc,platt,roc_auc + platt,0.001,None,0.9596774193548386,0.0607229789110164,0.05044987268374897,0.896551724137931,0.896551724137931,0.92,0.92,0.5,1.0433640520583407,1.3106885068421024,0.90625
2,1,neg_log_loss,raw,neg_log_loss + raw,0.1,None,0.9736070381231672,0.06151237121109665,0.04967709895297953,0.9180327868852459,0.896551724137931,0.9333333333333333,0.92,0.65,0.6617328476139656,1.593535027558351,0.90625
2,1,neg_log_loss,platt,neg_log_loss + platt,0.1,None,0.9736070381231672,0.05920249174465968,0.050136918549443917,0.9180327868852459,0.896551724137931,0.9333333333333333,0.92,0.65,0.8873452150512341,1.076666908656081,0.90625
2,2,roc_auc,raw,roc_auc + raw,0.001,None,0.9281524926686217,0.21352445040981385,0.3294381418863365,0.0,0.8813559322033898,0.5866666666666667,0.9066666666666666,0.4,6.640882243619272,18.72761480530673,0.9180327868852459
2,2,roc_auc,platt,roc_auc + platt,0.001,None,0.9281524926686217,0.08099926257896146,0.05534417077109242,0.896551724137931,0.896551724137931,0.92,0.92,0.5,0.36898532671974027,1.0931103080559248,0.9333333333333333
2,2,neg_log_loss,raw,neg_log_loss + raw,1.0,None,0.9442815249266863,0.07763757462013812,0.07893376108847971,0.8813559322033898,0.896551724137931,0.9066666666666666,0.92,0.6,1.0014068805452416,1.1525128615510867,0.9333333333333333
2,2,neg_log_loss,platt,neg_log_loss + platt,1.0,None,0.9442815249266863,0.07496791887309619,0.057838350500579436,0.8813559322033898,0.896551724137931,0.9066666666666666,0.92,0.75,0.28805941411638836,1.0373675102194158,0.9333333333333333
2,3,roc_auc,raw,roc_auc + raw,0.001,None,0.918979744936234,0.2134955970114643,0.3489962088615396,0.0625,0.8888888888888888,0.5945945945945946,0.9054054054054054,0.4,3.8073517979604383,11.814701613822624,0.90625
2,3,roc_auc,platt,roc_auc + platt,0.001,None,0.918979744936234,0.09684820611885833,0.15285637176775208,0.9032258064516129,0.8888888888888888,0.918918918918919,0.9054054054054054,0.25,-0.03807627454039647,0.8870166465634781,0.90625
2,3,neg_log_loss,raw,neg_log_loss + raw,0.1,None,0.932483120780195,0.0929735030151546,0.14961261829353545,0.9032258064516129,0.9032258064516129,0.918918918918919,0.918918918918919,0.30000000000000004,0.2749719210936169,1.1274877807070642,0.90625
2,3,neg_log_loss,platt,neg_log_loss + platt,0.1,None,0.932483120780195,0.0875453529203958,0.1369738856022062,0.9032258064516129,0.9032258064516129,0.918918918918919,0.918918918918919,0.30000000000000004,0.13842896501480595,0.9391213733186641,0.90625
2,4,roc_auc,raw,roc_auc + raw,0.01,None,0.9579894973743436,0.11310835157225486,0.18424754396160503,0.8923076923076924,0.8923076923076924,0.9054054054054054,0.9054054054054054,0.5,-0.2986227737255484,2.9297169517488806,0.9523809523809523
2,4,roc_auc,platt,roc_auc + platt,0.01,None,0.9579894973743436,0.07684206029455667,0.050702896496097674,0.8923076923076924,0.8923076923076924,0.9054054054054054,0.9054054054054054,0.5,-0.6471548444579986,0.7828618414202628,0.9523809523809523
2,4,neg_log_loss,raw,neg_log_loss + raw,1.0,None,0.9594898724681171,0.07724070271285162,0.09663226336111021,0.8923076923076924,0.8923076923076924,0.9054054054054054,0.9054054054054054,0.5,-0.9987357997951207,1.1633035869258457,0.9523809523809523
2,4,neg_log_loss,platt,neg_log_loss + platt,1.0,None,0.9594898724681171,0.07533655789818941,0.05560269197463982,0.8923076923076924,0.8923076923076924,0.9054054054054054,0.9054054054054054,0.5,-0.7132450811873162,0.8066162887981312,0.9523809523809523
2,5,roc_auc,raw,roc_auc + raw,10.0,None,0.8974910394265235,0.09893601001025905,0.10354002678149396,0.8484848484848485,0.8484848484848485,0.868421052631579,0.868421052631579,0.15000000000000002,-0.3301355997654085,0.7563003622618216,0.9152542372881356
2,5,roc_auc,platt,roc_auc + platt,10.0,None,0.8974910394265235,0.14984425327278583,0.20626649166875946,0.8484848484848485,0.8484848484848485,0.868421052631579,0.868421052631579,0.5,-1.4360357692163674,0.7710395068154888,0.9152542372881356
2,5,neg_log_loss,raw,neg_log_loss + raw,1.0,None,0.8989247311827958,0.1000082493225213,0.11517247128678854,0.8484848484848485,0.8484848484848485,0.868421052631579,0.868421052631579,0.15000000000000002,-0.31272737984229615,0.8262133263876457,0.9152542372881356
2,5,neg_log_loss,platt,neg_log_loss + platt,1.0,None,0.8989247311827958,0.14279975652813393,0.19593587104201185,0.8484848484848485,0.8484848484848485,0.868421052631579,0.868421052631579,0.4,-1.4000318863184367,0.76154147103955,0.9152542372881356
3,1,roc_auc,raw,roc_auc + raw,10.0,balanced,0.9838709677419355,0.06624474848449675,0.11323295313423613,0.9117647058823529,0.9117647058823529,0.92,0.92,0.5,-5.706119807273981,2.436756675260174,0.9032258064516129
3,1,roc_auc,platt,roc_auc + platt,10.0,balanced,0.9838709677419355,0.06416744331098138,0.10643266740350024,0.9117647058823529,0.9117647058823529,0.92,0.92,0.5,-5.467181981212319,2.396043303633596,0.9032258064516129
3,1,neg_log_loss,raw,neg_log_loss + raw,0.1,None,0.9824046920821115,0.0564604731741065,0.10606850815732984,0.9117647058823529,0.9393939393939394,0.92,0.9466666666666667,0.65,-3.5813648117833488,3.0926916925208863,0.9333333333333333
3,1,neg_log_loss,platt,neg_log_loss + platt,0.1,None,0.9824046920821115,0.05618377717736607,0.08237791570868366,0.9117647058823529,0.9393939393939394,0.92,0.9466666666666667,0.75,-3.8027563789136503,2.014630214223512,0.9333333333333333
3,2,roc_auc,raw,roc_auc + raw,0.01,None,0.9489872468117029,0.13329088064661493,0.23057225379391028,0.8852459016393442,0.8852459016393442,0.9054054054054054,0.9054054054054054,0.5,1.0768568389860247,4.140080277649879,0.8955223880597015
3,2,roc_auc,platt,roc_auc + platt,0.01,None,0.9489872468117029,0.12222729104796022,0.16034927734486795,0.47619047619047616,0.47619047619047616,0.7027027027027027,0.7027027027027027,0.6,1.8413178323400614,1.4352730042956112,0.9032258064516129
3,2,neg_log_loss,raw,neg_log_loss + raw,0.1,None,0.9504876219054764,0.07648640672296927,0.11063780514070609,0.9206349206349206,0.9206349206349206,0.9324324324324325,0.9324324324324325,0.5,0.1598602793845751,1.9345337124603603,0.8955223880597015
3,2,neg_log_loss,platt,neg_log_loss + platt,0.1,None,0.9504876219054764,0.10682302870607488,0.1462712784871884,0.8666666666666667,0.47619047619047616,0.8918918918918919,0.7027027027027027,0.65,1.703382292274694,1.422610601915422,0.9032258064516129
3,3,roc_auc,raw,roc_auc + raw,0.01,None,0.9711177794448612,0.1201072995610799,0.21002445841972392,0.9122807017543859,0.9122807017543859,0.9324324324324325,0.9324324324324325,0.5,4.604564914955461,6.174152330908899,0.8852459016393442
3,3,roc_auc,platt,roc_auc + platt,0.01,None,0.9711177794448612,0.06307778324968068,0.1008022541482104,0.9310344827586207,0.9310344827586207,0.9459459459459459,0.9459459459459459,0.5,2.9348564474430914,2.557492492985448,0.8852459016393442
3,3,neg_log_loss,raw,neg_log_loss + raw,0.1,None,0.9696174043510878,0.06639794002649904,0.11737614456110909,0.9310344827586207,0.9310344827586207,0.9459459459459459,0.9459459459459459,0.5,3.9288161839133116,3.0627551621702493,0.8852459016393442
3,3,neg_log_loss,platt,neg_log_loss + platt,0.1,None,0.9696174043510878,0.05375899315214354,0.09139940430063563,0.9310344827586207,0.9310344827586207,0.9459459459459459,0.9459459459459459,0.5,3.1119465793764043,2.7062224924294416,0.8852459016393442
3,4,roc_auc,raw,roc_auc + raw,0.1,None,0.9175219941348973,0.08459884104562555,0.07172630940799116,0.8709677419354839,0.9152542372881356,0.8933333333333333,0.9333333333333333,0.65,-0.08262838398115446,1.2835789695738846,0.96875
3,4,roc_auc,platt,roc_auc + platt,0.1,None,0.9175219941348973,0.0795646570777445,0.0488994392270913,0.8709677419354839,0.9152542372881356,0.8933333333333333,0.9333333333333333,0.6,0.42823291067802155,0.7556800008608934,0.96875
3,4,neg_log_loss,raw,neg_log_loss + raw,1.0,None,0.9145894428152492,0.0842132689141811,0.06515719567481346,0.8709677419354839,0.8709677419354839,0.8933333333333333,0.8933333333333333,0.6,-0.24423832746570495,1.0269608122831797,0.96875
3,4,neg_log_loss,platt,neg_log_loss + platt,1.0,None,0.9145894428152492,0.08048066176765234,0.05334443811233695,0.8709677419354839,0.8709677419354839,0.8933333333333333,0.8933333333333333,0.5,0.26416639045026186,0.7659063002431046,0.96875
3,5,roc_auc,raw,roc_auc + raw,10.0,None,0.828673835125448,0.13537416679978692,0.13700897046158736,0.819672131147541,0.819672131147541,0.8552631578947368,0.8552631578947368,0.4,-0.5387596324674699,0.44313118077755653,0.96875
3,5,roc_auc,platt,roc_auc + platt,10.0,None,0.828673835125448,0.1343553177729447,0.12961323477228245,0.819672131147541,0.819672131147541,0.8552631578947368,0.8552631578947368,0.35,-0.4559937361847744,0.4512262853447375,0.96875
3,5,neg_log_loss,raw,neg_log_loss + raw,1.0,None,0.8279569892473119,0.1346161298240655,0.13203122444356957,0.819672131147541,0.819672131147541,0.8552631578947368,0.8552631578947368,0.35,-0.4945833578576837,0.5058813681060578,0.9393939393939394
3,5,neg_log_loss,platt,neg_log_loss + platt,1.0,None,0.8279569892473119,0.1342916223100939,0.12105420973342919,0.819672131147541,0.819672131147541,0.8552631578947368,0.8552631578947368,0.25,-0.3546830020670282,0.4761723007058304,0.9393939393939394
4,1,roc_auc,raw,roc_auc + raw,0.01,None,0.9589442815249266,0.1058737315008454,0.16607036913190262,0.90625,0.90625,0.92,0.92,0.5,-0.04327516410253415,2.564749949137033,0.967741935483871
4,1,roc_auc,platt,roc_auc + platt,0.01,None,0.9589442815249266,0.08493969778023182,0.061389433514992105,0.8923076923076924,0.8923076923076924,0.9066666666666666,0.9066666666666666,0.5,-0.8618957200427726,0.4740133302586742,0.967741935483871
4,1,neg_log_loss,raw,neg_log_loss + raw,0.1,None,0.9538123167155425,0.07690735174396177,0.0434036230027798,0.8923076923076924,0.8923076923076924,0.9066666666666666,0.9066666666666666,0.5,-0.5174504669687024,1.222060863912299,0.967741935483871
4,1,neg_log_loss,platt,neg_log_loss + platt,0.1,None,0.9538123167155425,0.08675218551928987,0.06271732648682529,0.8923076923076924,0.8923076923076924,0.9066666666666666,0.9066666666666666,0.5,-0.8862896046984323,0.48553812559936155,0.967741935483871
4,2,roc_auc,raw,roc_auc + raw,0.01,None,0.9643660915228808,0.13217375411330876,0.2438089201520585,0.9152542372881356,0.8955223880597015,0.9324324324324325,0.9054054054054054,0.30000000000000004,1.3730461689781,4.470884443649405,0.9032258064516129
4,2,roc_auc,platt,roc_auc + platt,0.01,None,0.9643660915228808,0.0635823679767947,0.10669248730314702,0.9090909090909091,0.8955223880597015,0.918918918918919,0.9054054054054054,0.25,-0.5056244511218129,1.3915078424005467,0.9032258064516129
4,2,neg_log_loss,raw,neg_log_loss + raw,0.1,None,0.9643660915228808,0.07414828657105539,0.12373389298806563,0.9375,0.8955223880597015,0.9459459459459459,0.9054054054054054,0.25,0.2351758609415743,1.9938989609747035,0.9180327868852459
4,2,neg_log_loss,platt,neg_log_loss + platt,0.1,None,0.9643660915228808,0.06443562297567361,0.10542272068444107,0.9090909090909091,0.8955223880597015,0.918918918918919,0.9054054054054054,0.30000000000000004,-0.8929975786614739,1.3648914221735284,0.9032258064516129
4,3,roc_auc,raw,roc_auc + raw,0.001,None,0.9508797653958945,0.21643618201880577,0.3420027962104887,0.0,0.2777777777777778,0.5866666666666667,0.6533333333333333,0.45000000000000007,8.002041345054785,21.51780637234848,0.9206349206349206
4,3,roc_auc,platt,roc_auc + platt,0.001,None,0.9508797653958945,0.14252990936225635,0.20675832751672396,0.358974358974359,0.8813559322033898,0.6666666666666666,0.9066666666666666,0.4,2.662420534423206,1.5331957520940565,0.9375
4,3,neg_log_loss,raw,neg_log_loss + raw,0.1,None,0.9618768328445747,0.0826900511801528,0.1272686056716529,0.8813559322033898,0.8813559322033898,0.9066666666666666,0.9066666666666666,0.6,1.0724943900138226,1.5759310671572542,0.9375
4,3,neg_log_loss,platt,neg_log_loss + platt,0.1,None,0.9618768328445747,0.10195905092136397,0.15033064844508587,0.896551724137931,0.896551724137931,0.92,0.92,0.5,2.1118165114464618,1.010219726286058,0.9375
4,4,roc_auc,raw,roc_auc + raw,100.0,None,0.8953488372093024,0.06776963018125373,0.08658491052397699,0.9152542372881356,0.7714285714285715,0.9324324324324325,0.7837837837837838,0.1,0.18504117663391462,0.9429281323509812,0.8571428571428571
4,4,roc_auc,platt,roc_auc + platt,100.0,None,0.8953488372093024,0.07208897097093953,0.09456809527412893,0.9152542372881356,0.9152542372881356,0.9324324324324325,0.9324324324324325,0.5,0.12121291638515462,1.2902857236987382,0.819672131147541
4,4,neg_log_loss,raw,neg_log_loss + raw,1.0,None,0.8953488372093024,0.0676707886869162,0.08433905164468822,0.9152542372881356,0.9152542372881356,0.9324324324324325,0.9324324324324325,0.5,0.18980181091642215,0.9861172355028793,0.819672131147541
4,4,neg_log_loss,platt,neg_log_loss + platt,1.0,None,0.8953488372093024,0.07137457160705113,0.0889355620828347,0.9152542372881356,0.896551724137931,0.9324324324324325,0.918918918918919,0.7000000000000001,0.14936727519451404,1.2752795973348245,0.847457627118644
4,5,roc_auc,raw,roc_auc + raw,0.1,balanced,0.9082437275985663,0.10787063112342472,0.07547866987303636,0.8571428571428571,0.8571428571428571,0.881578947368421,0.881578947368421,0.75,-0.5178551998501473,1.0387155697041275,0.9491525423728814
4,5,roc_auc,platt,roc_auc + platt,0.1,balanced,0.9082437275985663,0.10838893474831056,0.06760406761752129,0.8571428571428571,0.8571428571428571,0.881578947368421,0.881578947368421,0.75,-0.054140125270815444,0.582396222784586,0.9491525423728814
4,5,neg_log_loss,raw,neg_log_loss + raw,0.1,None,0.9082437275985663,0.10349876831096208,0.06723592384360637,0.8571428571428571,0.8571428571428571,0.881578947368421,0.881578947368421,0.7000000000000001,-0.20640896397473438,1.0509035191356488,0.9491525423728814
4,5,neg_log_loss,platt,neg_log_loss + platt,0.1,None,0.9082437275985663,0.10802517058305985,0.06672571754609216,0.8571428571428571,0.8571428571428571,0.881578947368421,0.881578947368421,0.5,-0.03738084971699962,0.5866785555164917,0.9375
5,1,roc_auc,raw,roc_auc + raw,0.001,None,0.9794721407624634,0.20356720715153603,0.3363581354145365,0.0,0.9523809523809523,0.5866666666666667,0.96,0.4,6.100883899336351,19.091214525724794,0.9375
5,1,roc_auc,platt,roc_auc + platt,0.001,None,0.9794721407624634,0.04238657544613409,0.03428006055225101,0.9523809523809523,0.9523809523809523,0.96,0.96,0.5,-0.266130571050778,0.6819771198107134,0.9523809523809523
5,1,neg_log_loss,raw,neg_log_loss + raw,0.1,None,0.9809384164222874,0.046646971366089474,0.0954783393369002,0.9523809523809523,0.9523809523809523,0.96,0.96,0.5,0.25967030095709387,1.8432188991446097,0.9523809523809523
5,1,neg_log_loss,platt,neg_log_loss + platt,0.1,None,0.9809384164222874,0.03708411368998347,0.03375442528538816,0.9523809523809523,0.9523809523809523,0.96,0.96,0.5,-0.1868301154262699,0.932410512130728,0.9523809523809523
5,2,roc_auc,raw,roc_auc + raw,1.0,None,0.9274193548387096,0.07619519746194497,0.08497648068361628,0.8852459016393442,0.8852459016393442,0.9066666666666666,0.9066666666666666,0.6,0.44108208532570375,1.2275875485947583,0.875
5,2,roc_auc,platt,roc_auc + platt,1.0,None,0.9274193548387096,0.09954500631251026,0.12967120004591332,0.8852459016393442,0.8852459016393442,0.9066666666666666,0.9066666666666666,0.5,1.1837764667821014,1.755431390118855,0.875
5,2,neg_log_loss,raw,neg_log_loss + raw,1.0,None,0.9274193548387096,0.07619519746194497,0.08497648068361628,0.8852459016393442,0.8852459016393442,0.9066666666666666,0.9066666666666666,0.6,0.44108208532570375,1.2275875485947583,0.875
