source,feature,feature_label,coef,odds_ratio,ci_low,ci_high,p_value
Clustered GEE (full data),age,Age,0.029138191554050195,1.0295668620894838,0.927618388949102,1.1427198254593336,0.5839014594555998
Clustered GEE (full data),sleep_duration,Sleep Duration,-0.7000126066218046,0.49657904356775107,0.2138127637973188,1.1533022731253555,0.1034800113825833
Clustered GEE (full data),physical_activity_level,Physical Activity Level,-0.020589810643354103,0.979620712157211,0.9427540557679752,1.017929049274317,0.29279314380340593
Clustered GEE (full data),diastolic_bp,Diastolic BP,0.2788091053759409,1.3215550420358506,1.0918319044734635,1.5996122864468165,0.004213200674661039
Clustered GEE (full data),male,Male,-0.04633416799572571,0.9547228710503682,0.22215516171186173,4.102969084683616,0.9503364389445005
Clustered GEE (full data),bmi_risk,BMI Risk,1.9704768070727627,7.174096332850984,1.7571625763344616,29.290208479394273,0.006045034945495145
Deduplicated GLM,age,Age,-0.02407167421509643,0.9762157377535767,0.8935196811608713,1.0665653893595437,0.5940258396816429
Deduplicated GLM,sleep_duration,Sleep Duration,-0.2747714009038147,0.7597457805740255,0.3257688265571069,1.771850478145276,0.5247919110542608
Deduplicated GLM,physical_activity_level,Physical Activity Level,-0.022828070025633158,0.9774305189317882,0.9493896588368779,1.0062995846296812,0.12426504321319741
Deduplicated GLM,diastolic_bp,Diastolic BP,0.24375162431245936,1.27602735695472,1.102148011150471,1.47733861443638,0.0011091712519485516
Deduplicated GLM,male,Male,0.043501656387187386,1.0444617243436114,0.3545453336872586,3.076899312912981,0.9371000268431873
Deduplicated GLM,bmi_risk,BMI Risk,0.7022794335325804,2.018348158440969,0.5275861452151022,7.721448574092389,0.30494953349829157
