label,precision,recall,f1-score,support
No disorder,0.9230769230769231,0.9090909090909091,0.916030534351145,66.0
Disorder,0.875,0.8936170212765957,0.8842105263157894,47.0
accuracy,0.9026548672566371,0.9026548672566371,0.9026548672566371,0.9026548672566371
macro avg,0.8990384615384616,0.9013539651837523,0.9001205303334672,113.0
weighted avg,0.9030803267528932,0.9026548672566371,0.9027956637523687,113.0
