comparison,feature,feature_label,coefficient,odds_ratio,ci_low,ci_high,p_value
Insomnia vs None,bmi_risk,BMI Risk,3.5449943978196203,34.63949128503884,8.333384632900366,143.98643640533226,1.0783450141770228e-06
Insomnia vs None,sleep_stress_balance,Sleep-Stress Balance,-0.989387936655768,0.37180418910870905,0.20741969767761664,0.6664668620510791,0.0008917246317597964
Insomnia vs None,pulse_pressure,Pulse Pressure,0.9274115789474597,2.527957283892577,1.4549678053684305,4.3922401620201486,0.0010005481160813344
Insomnia vs None,heart_rate,Heart Rate,-0.31802109334306056,0.7275874410012323,0.6000041729326354,0.8822996708760515,0.0012250795518920592
Insomnia vs None,sleep_deficit_7h,Sleep Deficit (vs 7h),-3.699577795580288,0.024733967056361723,0.0010051704641656672,0.6086222667246601,0.023585615699414777
Insomnia vs None,male,Male,-1.1884745872032727,0.30468568119981315,0.0720583209158293,1.2883087358728775,0.10618271301750863
Insomnia vs None,age,Age,0.0162630840368178,1.0163960478104261,0.9215267901911074,1.12103189728257,0.7449536756103496
Insomnia vs None,map_bp,Mean Arterial Pressure,-0.006835308394383808,0.9931879991909596,0.8486921064819609,1.1622853496610293,0.9320947264952789
Sleep Apnea vs None,map_bp,Mean Arterial Pressure,0.43060119719728895,1.5381819963303278,1.2386460705770193,1.9101532794856866,9.749998766779452e-05
Sleep Apnea vs None,heart_rate,Heart Rate,0.22054913454724073,1.2467611822794946,1.0528124625167161,1.4764390629677626,0.010572195024437335
Sleep Apnea vs None,pulse_pressure,Pulse Pressure,-0.4808129359224824,0.618280564969397,0.3871873156469576,0.9873021185627793,0.04406428087321113
Sleep Apnea vs None,bmi_risk,BMI Risk,1.1532008252294137,3.1683179287982917,0.5149793328868487,19.492507479227903,0.21348003709037067
Sleep Apnea vs None,sleep_stress_balance,Sleep-Stress Balance,-0.2964759850672581,0.7434334805547643,0.45792591759019674,1.206949243926357,0.23046329568087076
Sleep Apnea vs None,male,Male,-0.8100211958661375,0.4448486371708481,0.10025416977223657,1.9738860781784928,0.2866526756575345
Sleep Apnea vs None,sleep_deficit_7h,Sleep Deficit (vs 7h),-1.6080015661778362,0.2002874756591222,0.006894367179820694,5.818528642239616,0.3495490569143648
Sleep Apnea vs None,age,Age,0.021126494302734732,1.0213512385794217,0.8991116054234195,1.160210085439241,0.7453121557142517
