dataset,cv_macro_f1_mean,cv_macro_f1_std,test_accuracy,test_macro_f1,test_auc_ovr_macro,best_c
Full,0.857522976013654,0.05826807212234213,0.9203539823008849,0.8978502085026797,0.9331165944561001,1.0
Deduplicated,0.6118489395550866,0.1581284828273165,0.65,0.5813852813852813,0.703309981535788,1.0
