class,Age,Heart Rate,Mean Arterial Pressure,Pulse Pressure,Sleep Deficit (vs 7h),Sleep-Stress Balance,Male,BMI Risk
Insomnia,-0.031019272067119626,-0.8088128761689044,-0.937215623369629,0.9550004076151092,-0.12243790552230445,-0.591117777482572,0.17466466957847118,1.0001954124971018
None,-0.07317530995920517,-0.13699926361199005,-0.6835039137665888,-0.07096927672315793,0.36109839717946113,0.4268419681904385,0.23919948341900105,-0.7698471501327054
Sleep Apnea,0.104194582026326,0.9458121397808955,1.6207195371362173,-0.8840311308919505,-0.23866049165715486,0.164275809292133,-0.41386415299747437,-0.23034826236439626
