fpr,tpr
0.0,0.0
0.0,0.0425531914893617
0.0,0.10638297872340426
0.0,0.14893617021276595
0.0,0.23404255319148937
0.0,0.2978723404255319
0.015151515151515152,0.3404255319148936
0.015151515151515152,0.46808510638297873
0.015151515151515152,0.5319148936170213
0.015151515151515152,0.5957446808510638
0.015151515151515152,0.6382978723404256
0.015151515151515152,0.7021276595744681
0.015151515151515152,0.7446808510638298
0.015151515151515152,0.7872340425531915
0.015151515151515152,0.851063829787234
0.015151515151515152,0.9148936170212766
0.015151515151515152,0.9361702127659575
0.030303030303030304,0.9361702127659575
0.06060606060606061,0.9361702127659575
0.07575757575757576,0.9361702127659575
0.09090909090909091,0.9574468085106383
0.10606060606060606,0.9574468085106383
0.13636363636363635,0.9574468085106383
0.15151515151515152,0.9574468085106383
0.18181818181818182,0.9574468085106383
0.24242424242424243,0.9787234042553191
0.2878787878787879,0.9787234042553191
0.3484848484848485,0.9787234042553191
0.36363636363636365,1.0
0.3787878787878788,1.0
0.4090909090909091,1.0
0.4393939393939394,1.0
0.5303030303030303,1.0
0.5909090909090909,1.0
0.7272727272727273,1.0
0.7575757575757576,1.0
0.7727272727272727,1.0
0.803030303030303,1.0
0.8636363636363636,1.0
0.9393939393939394,1.0
0.9696969696969697,1.0
1.0,1.0
