model,cv_auc_mean,cv_auc_std,test_auc,accuracy,precision,recall,f1,best_c
Baseline,0.9461365341335334,0.019972990337918467,0.9758220502901355,0.9292035398230089,0.8979591836734694,0.9361702127659575,0.9166666666666666,0.0001
Compressed Derived,0.944523630907727,0.017995251861349218,0.9695357833655706,0.9380530973451328,0.9,0.9574468085106383,0.9278350515463918,0.0001
Augmented,0.9411477869467367,0.016860966393609435,0.97678916827853,0.9380530973451328,0.9166666666666666,0.9361702127659575,0.9263157894736842,0.01
