feature,feature_label,vif
diastolic_bp,Diastolic BP,37.97659001969284
systolic_bp,Systolic BP,35.338380761891926
quality_of_sleep,Quality of Sleep,13.260808559339658
stress_level,Stress Level,9.568463762396055
daily_steps,Daily Steps,6.1223856487530846
physical_activity_level,Physical Activity Level,5.663941480181238
sleep_duration,Sleep Duration,5.49997178809792
heart_rate,Heart Rate,3.453271573757417
age,Age,3.3461271540450883
