fpr,tpr
0.0,0.0
0.0,0.06382978723404255
0.0,0.10638297872340426
0.0,0.14893617021276595
0.0,0.19148936170212766
0.0,0.23404255319148937
0.0,0.2978723404255319
0.015151515151515152,0.3404255319148936
0.015151515151515152,0.46808510638297873
0.015151515151515152,0.5319148936170213
0.015151515151515152,0.6170212765957447
0.015151515151515152,0.6595744680851063
0.015151515151515152,0.723404255319149
0.015151515151515152,0.7872340425531915
0.015151515151515152,0.8297872340425532
0.015151515151515152,0.8723404255319149
0.015151515151515152,0.9361702127659575
0.045454545454545456,0.9361702127659575
0.09090909090909091,0.9361702127659575
0.10606060606060606,0.9574468085106383
0.12121212121212122,0.9574468085106383
0.15151515151515152,0.9574468085106383
0.16666666666666666,0.9574468085106383
0.19696969696969696,0.9574468085106383
0.25757575757575757,0.9787234042553191
0.30303030303030304,0.9787234042553191
0.36363636363636365,0.9787234042553191
0.3787878787878788,1.0
0.4090909090909091,1.0
0.4696969696969697,1.0
0.5151515151515151,1.0
0.5303030303030303,1.0
0.5757575757575758,1.0
0.6060606060606061,1.0
0.6666666666666666,1.0
0.696969696969697,1.0
0.7272727272727273,1.0
0.7878787878787878,1.0
0.8181818181818182,1.0
0.8636363636363636,1.0
0.9393939393939394,1.0
0.9696969696969697,1.0
1.0,1.0
