fpr,tpr
0.0,0.0
0.0,0.0425531914893617
0.0,0.10638297872340426
0.0,0.14893617021276595
0.0,0.2127659574468085
0.0,0.2553191489361702
0.0,0.2765957446808511
0.015151515151515152,0.425531914893617
0.015151515151515152,0.46808510638297873
0.015151515151515152,0.5106382978723404
0.015151515151515152,0.5319148936170213
0.015151515151515152,0.5957446808510638
0.015151515151515152,0.6382978723404256
0.015151515151515152,0.6595744680851063
0.015151515151515152,0.723404255319149
0.015151515151515152,0.7659574468085106
0.030303030303030304,0.7659574468085106
0.030303030303030304,0.7872340425531915
0.06060606060606061,0.7872340425531915
0.06060606060606061,0.8297872340425532
0.06060606060606061,0.8723404255319149
0.06060606060606061,0.9361702127659575
0.07575757575757576,0.9574468085106383
0.10606060606060606,0.9574468085106383
0.15151515151515152,0.9574468085106383
0.18181818181818182,0.9574468085106383
0.19696969696969696,0.9574468085106383
0.25757575757575757,0.9787234042553191
0.2727272727272727,0.9787234042553191
0.30303030303030304,0.9787234042553191
0.36363636363636365,0.9787234042553191
0.4090909090909091,1.0
0.4393939393939394,1.0
0.5909090909090909,1.0
0.7272727272727273,1.0
0.7575757575757576,1.0
0.8333333333333334,1.0
0.8636363636363636,1.0
0.9393939393939394,1.0
0.9848484848484849,1.0
1.0,1.0
